Name	City	State	Enrollment	E/D Ratio	Earnings	Low Income Debt	SAT	Admission %
PJ's College of Cosmetology-Bowling Green	Bowling Green	KY	457	1.57524613220816	14000	8887.5	NA	NA
Portland State University	Portland	OR	20119	1.5722509796333	32500	20671	1045	0.6945
Dakota Wesleyan University	Mitchell	SD	679	1.57086754730453	30800	19607	983	0.7605
Skyline College-Roanoke	Roanoke	VA	264	1.57073267720449	23700	15088.5	NA	0.7294
Lindenwood University	Saint Charles	MO	7377	1.57073170731707	32200	20500	1029	0.5337
Alcorn State University	Alcorn State	MS	3296	1.57021653792579	24800	15794	852	0.3643
La James College of Hairstyling and Cosmetology	Mason City	IA	112	1.57	15700	10000	NA	NA
Ripon College	Ripon	WI	969	1.5699693050873	31200	19873	1123	0.7507
Westwood College-Dupage	Woodridge	IL	437	1.5681233933162	24400	15560	NA	0.5189
Westwood College-Atlanta Midtown	Atlanta	GA	581	1.5681233933162	24400	15560	NA	0.5189
Empire Beauty School-Wyoming Valley	Moosic	PA	195	1.56594850236469	14900	9515	NA	NA
Empire Beauty School-Lisle	Lisle	IL	192	1.56594850236469	14900	9515	NA	NA
Chicago State University	Chicago	IL	5252	1.56571642442767	25100	16031	850	0.4316
Lancaster Beauty School	Lancaster	CA	119	1.56470588235294	13300	8500	NA	NA
Champlain College	Burlington	VT	2608	1.56363636363636	34400	22000	1098	0.8458
Empire Beauty School-Lehigh Valley	Whitehall	PA	192	1.56336725254394	16900	10810	NA	NA
Empire Beauty School-Owings Mills	Owings Mills	MD	161	1.56336725254394	16900	10810	NA	NA
Vatterott College-Spring Valley	Omaha	NE	587	1.56174750601995	22700	14535	NA	NA
Newberry College	Newberry	SC	1103	1.55820895522388	26100	16750	965	0.6086
Wiley College	Marshall	TX	1335	1.55789473684211	22200	14250	NA	NA
Texas Barber Colleges and Hairstyling Schools	Houston	TX	1210	1.55789473684211	14800	9500	NA	NA
Northwest Christian University	Eugene	OR	471	1.5567349001769	30800	19785	1032	0.6563
Southwest Florida College	Fort Myers	FL	1649	1.55664048680393	22000	14133	NA	NA
Centura College-Richmond Main	Richmond	VA	250	1.55551234687925	20000	12857.5	NA	NA
Daymar Institute-Nashville	Nashville	TN	400	1.55456852791878	19600	12608	NA	NA
Daymar College-Bowling Green	Bowling Green	KY	373	1.55456852791878	19600	12608	NA	NA
Daymar Institute-Clarksville	Clarksville	TN	623	1.55456852791878	19600	12608	NA	NA
Daymar Institute-Murfreesboro	Murfreesboro	TN	465	1.55456852791878	19600	12608	NA	NA
Austin Peay State University	Clarksville	TN	9832	1.5536231884058	26800	17250	988	0.8759
Silver Lake College of the Holy Family	Manitowoc	WI	317	1.55097889651665	30500	19665	904	0.5966
Kentucky State University	Frankfort	KY	2263	1.55087719298246	22100	14250	867	0.3028
Colleen O'Haras Beauty Academy	Santa Ana	CA	213	1.54985192497532	15700	10130	NA	NA
Prairie View A & M University	Prairie View	TX	6813	1.54836464857342	26700	17244	845	0.3969
Rollins College	Winter Park	FL	2614	1.54825313713099	34300	22154	1186	0.5385
Fayetteville State University	Fayetteville	NC	4930	1.54730038519292	23700	15317	841	0.6102
Biola University	La Mirada	CA	4232	1.5421686746988	32000	20750	1115	0.7668
Capital University	Columbus	OH	2582	1.53953488372093	33100	21500	1101	0.7599
Carlow University	Pittsburgh	PA	1495	1.53741909857707	32900	21399.5	963	0.6514
Edward Waters College	Jacksonville	FL	751	1.53725490196078	19600	12750	749	0.2266
Trinity Washington University	Washington	DC	1761	1.53714285714286	26900	17500	NA	0.5052
Paul Mitchell the School-Jacksonville	Jacksonville	FL	188	1.53564527611105	15100	9833	NA	NA
Paul Mitchell the School-Mclean	McLean	VA	232	1.53564527611105	15100	9833	NA	NA
Saint Edward's University	Austin	TX	4392	1.53531907252362	34200	22275.5	1122	0.6369
Florida Agricultural and Mechanical University	Tallahassee	FL	11027	1.53439457502442	26700	17401	947	0.4835
Abilene Christian University	Abilene	TX	3730	1.53224819483539	31300	20427.5	1132	0.6438
Lakeland College	Plymouth	WI	2587	1.53063605394559	32800	21429	1009	0.8213
Humphreys College-Stockton and Modesto Campuses	Stockton	CA	923	1.52807919850165	25700	16818.5	NA	NA
Montreat College	Montreat	NC	656	1.5271870035361	29800	19513	986	0.5063
Wards Corner Beauty Academy-Norfolk	Norfolk	VA	123	1.52631578947368	14500	9500	NA	NA
Keiser University-Ft Lauderdale	Fort Lauderdale	FL	16229	1.52620356862305	27200	17822	NA	0.8887
Provo College-Provo	Provo	UT	345	1.52588157990801	20900	13697	NA	NA
Humboldt State University	Arcata	CA	7371	1.525	24400	16000	1030	0.8274
Consolidated School of Business-York	York	PA	128	1.52390627976379	24000	15749	NA	NA
California College-San Diego	San Diego	CA	1455	1.52	30400	20000	NA	NA
Albion College	Albion	MI	1495	1.51741293532338	30500	20100	1150	0.6933
InterCoast Colleges-Orange	Orange	CA	232	1.51666666666667	18200	12000	NA	NA
InterCoast Colleges-Riverside	Riverside	CA	362	1.51666666666667	18200	12000	NA	NA
InterCoast Colleges-West Covina	West Covina	CA	277	1.51666666666667	18200	12000	NA	NA
InterCoast Colleges-Carson	Carson	CA	220	1.51666666666667	18200	12000	NA	NA
InterCoast Career Institute-South Portland	South Portland	ME	316	1.51666666666667	18200	12000	NA	NA
InterCoast Colleges-Sacramento	Sacramento	CA	198	1.51666666666667	18200	12000	NA	NA
InterCoast Colleges-Roseville	Roseville	CA	112	1.51666666666667	18200	12000	NA	NA
Paul Mitchell the School-Arkansas	Fayetteville	AR	121	1.51578947368421	14400	9500	NA	NA
Wade College	Dallas	TX	265	1.51495278069255	23100	15248	NA	NA
Hiram College	Hiram	OH	1311	1.51458489154824	32400	21392	1036	0.63
Cheyney University of Pennsylvania	Cheyney	PA	1102	1.51333333333333	22700	15000	NA	NA
University of the Incarnate Word	San Antonio	TX	5951	1.51304347826087	34800	23000	964	0.946
Plymouth State University	Plymouth	NH	4316	1.51121966112044	29700	19653	966	0.7384
Philadelphia Biblical University-Langhorne	Langhorne	PA	910	1.51	30200	20000	1057	0.7383
California Baptist University	Riverside	CA	4403	1.50930658694185	31300	20738	976	0.7406
Hampton University	Hampton	VA	4265	1.50909090909091	33200	22000	1070	0.3706
University of Memphis	Memphis	TN	17291	1.50526315789474	28600	19000	1030	0.6632
Platt College-Los Angeles	Alhambra	CA	449	1.50435957263908	24500	16286	NA	NA
Platt College-Ontario	Ontario	CA	594	1.50435957263908	24500	16286	NA	NA
Lee University	Cleveland	TN	3723	1.50178784266984	25200	16780	1096	0.6123
Macalester College	Saint Paul	MN	1988	1.50157295053798	28400	18913.5	1353	0.3497
Southern Oregon University	Ashland	OR	4804	1.50092784630499	27500	18322	1015	0.5948
Phagans Central Oregon Beauty College	Bend	OR	133	1.50005357334191	14000	9333	NA	NA
Duluth Business University	Dultuh	MN	329	1.5	19500	13000	NA	NA
Grand Valley State University	Allendale	MI	21124	1.49650580013647	31800	21249.5	1090	0.831
Empire Beauty School-Maine	Portland	ME	376	1.49496593104851	14700	9833	NA	NA
Regency Beauty Institute-Winston-Salem	Winston Salem	NC	117	1.49473684210526	14200	9500	NA	NA
Academy of Nail Skin and Hair	Billings	MT	140	1.49473684210526	14200	9500	NA	NA
South Hills School of Business & Technology	State College	PA	706	1.49375	23900	16000	NA	0.7924
Sanford-Brown College-Tysons Corner	McLean	VA	829	1.49325369313637	28000	18751	NA	NA
Otterbein University	Westerville	OH	2484	1.49090909090909	32800	22000	1089	0.7928
Whitworth University	Spokane	WA	2229	1.49047619047619	31300	21000	NA	0.4767
Whitworth University-Adult Degree Programs	Spokane	WA	380	1.49047619047619	31300	21000	NA	0.4767
College for Creative Studies	Detroit	MI	1329	1.48705882352941	31600	21250	1050	0.4184
Belmont University	Nashville	TN	4961	1.48571428571429	31200	21000	1190	0.8151
Martin Luther College	New Ulm	MN	711	1.48334732717604	26500	17865	1145	0.9502
Cumberland University	Lebanon	TN	1185	1.48323509517828	30700	20698	1028	0.4863
University of Idaho	Moscow	ID	9221	1.48019801980198	29900	20200	1078	0.6086
Saint Elizabeth School of Nursing	Lafayette	IN	248	1.47909326597088	44500	30086	950	0.6531
Paul Mitchell the School-Salt Lake City	Holiday	UT	310	1.475	17700	12000	NA	NA
Paul Mitchell the School-St George	Washington	UT	166	1.475	17700	12000	NA	NA
Pine Manor College	Chestnut Hill	MA	309	1.47222222222222	26500	18000	805	0.9636
Oglethorpe University	Atlanta	GA	1068	1.47142857142857	30900	21000	1144	0.4474
University of Maine at Machias	Machias	ME	597	1.46997642490639	21200	14422	932	0.7852
Cornell College	Mount Vernon	IA	1190	1.46666666666667	28600	19500	1197	0.455
Mary Baldwin College	Staunton	VA	1374	1.46	29200	20000	967	0.4447
Stillman College	Tuscaloosa	AL	1072	1.45964912280702	20800	14250	851	0.4647
Empire Beauty School-Michigan	Grand Rapids	MI	448	1.45687128009239	16400	11257	NA	NA
Winston-Salem State University	Winston-Salem	NC	5627	1.45611963793782	25900	17787	887	0.6204
Bastyr University	Kenmore	WA	205	1.45572179539021	30600	21020.5	NA	NA
Sojourner-Douglass College	Baltimore	MD	1254	1.455	29100	20000	NA	NA
Johnson & Wales University-Providence	Providence	RI	9257	1.455	29100	20000	NA	0.7044
Johnson & Wales University-North Miami	North Miami	FL	2099	1.455	29100	20000	NA	0.7044
Johnson & Wales University-Denver	Denver	CO	1655	1.455	29100	20000	NA	0.7044
Johnson & Wales University-Charlotte	Charlotte	NC	2505	1.455	29100	20000	NA	0.7044
Minnesota School of Business-Richfield	Richfield	MN	1416	1.45263157894737	27600	19000	NA	NA
Minnesota School of Business-Brooklyn Center	Brooklyn Center	MN	424	1.45263157894737	27600	19000	NA	NA
Minnesota School of Business-Plymouth	Plymouth	MN	402	1.45263157894737	27600	19000	NA	NA
Minnesota School of Business-Waite Park	Waite Park	MN	652	1.45263157894737	27600	19000	NA	NA
Minnesota School of Business-Rochester	Rochester	MN	441	1.45263157894737	27600	19000	NA	NA
Minnesota School of Business-Blaine	Blaine	MN	734	1.45263157894737	27600	19000	NA	NA
Minnesota School of Business-Moorhead	Moorhead	MN	275	1.45263157894737	27600	19000	NA	NA
Minnesota School of Business-Elk River	Elk River	MN	440	1.45263157894737	27600	19000	NA	NA
Minnesota School of Business-Lakeville	Lakeville	MN	249	1.45263157894737	27600	19000	NA	NA
Collins College	Phoenix	AZ	892	1.4521817301708	21000	14461	NA	NA
International Academy of Design and Technology-Chicago	Chicago	IL	811	1.4521817301708	21000	14461	NA	NA
International Academy of Design and Technology-Troy	Troy	MI	849	1.4521817301708	21000	14461	NA	NA
International Academy of Design and Technology-Nashville	Nashville	TN	538	1.4521817301708	21000	14461	NA	NA
Fremont College	Cerritos	CA	406	1.45183441239945	22200	15291	NA	NA
Edinboro University of Pennsylvania	Edinboro	PA	6553	1.45060489650823	25300	17441	938	0.7531
Elizabeth City State University	Elizabeth City	NC	2735	1.44592830605482	21600	14938.5	833	0.7102
Life Pacific College	San Dimas	CA	460	1.44375	23100	16000	923	0.9559
Howard University	Washington	DC	7043	1.44329896907216	35000	24250	1050	0.5447
Mount Mary College	Milwaukee	WI	1026	1.44292708064932	33600	23286	990	0.5343
Platt College-San Diego	San Diego	CA	418	1.44100722962672	29300	20333	NA	NA
Madonna University	Livonia	MI	2964	1.44072246140922	34300	23807.5	1047	0.6523
Du Bois Business College-Du Bois	Du Bois	PA	170	1.43996611844427	20400	14167	NA	NA
Pratt Institute-Main	Brooklyn	NY	2998	1.4379746835443	28400	19750	1157	0.6544
Douglas Education Center	Monessen	PA	250	1.43728813559322	21200	14750	NA	NA
Alvernia University	Reading	PA	2135	1.436	35900	25000	976	0.7519
Morgan State University	Baltimore	MD	6672	1.43589743589744	28000	19500	892	0.495
Swedish Institute a College of Health Sciences	New York	NY	435	1.43428571428571	25100	17500	NA	NA
Concordia College-New York	Bronxville	NY	760	1.43076851377173	30700	21457	899	0.6954
University of Mobile	Mobile	AL	1534	1.43	28600	20000	1060	0.8065
Cedar Crest College	Allentown	PA	1370	1.42970297029703	36100	25250	1001	0.6234
Chestnut Hill College	Philadelphia	PA	1535	1.42553340655745	30500	21395.5	954	0.8816
Savannah College of Art and Design	Savannah	GA	8634	1.42348754448399	25000	17562.5	1071	0.4869
Stautzenberger College-Maumee	Maumee	OH	951	1.42209875318319	21500	15118.5	NA	NA
Stautzenberger College-Brecksville	Brecksville	OH	342	1.42209875318319	21500	15118.5	NA	NA
Westwood College-O'Hare Airport	Chicago	IL	655	1.42177377744654	24800	17443	NA	0.5527
Westwood College-Northlake	Atlanta	GA	491	1.42177377744654	24800	17443	NA	0.5527
MedTech College	Indianapolis	IN	1013	1.42163551550154	22400	15756.5	NA	NA
MedTech College-Greenwood Campus	Greenwood	IN	736	1.42163551550154	22400	15756.5	NA	NA
MedTech College-Ft Wayne Campus	Ft. Wayne	IN	539	1.42163551550154	22400	15756.5	NA	NA
MedTech College–Lexington Campus	Lexington	KY	323	1.42163551550154	22400	15756.5	NA	NA
Beauty Schools of America-Miami	Miami	FL	791	1.42105263157895	13500	9500	NA	NA
Beauty Schools of America-Hialeah	Hialeah	FL	691	1.42105263157895	13500	9500	NA	NA
Beauty Schools of America-North Miami Beach	North Miami Beach	FL	454	1.42105263157895	13500	9500	NA	NA
Beauty Schools of America-Homestead	Homestead	FL	837	1.42105263157895	13500	9500	NA	NA
Beauty Schools of America	Miami Beach	FL	191	1.42105263157895	13500	9500	NA	NA
College of Hair Design	Lincoln	NE	130	1.41960784313725	18100	12750	NA	NA
College of Hair Design-East Campus	Lincoln	NE	169	1.41960784313725	18100	12750	NA	NA
KD College Conservatory of Film and Dramatic Arts	Dallas	TX	185	1.41943644157122	20200	14231	NA	0.7405
Missouri College	Brentwood	MO	934	1.41694915254237	20900	14750	NA	NA
Hampden-Sydney College	Hampden-Sydney	VA	1057	1.41666666666667	34000	24000	1105	0.5479
Rosemont College	Rosemont	PA	519	1.41436464088398	32000	22625	972	0.5359
Jarvis Christian College	Hawkins	TX	480	1.40914709517923	17100	12135	NA	NA
Searcy Beauty College Inc	Searcy	AR	105	1.4	7700	5500	NA	NA
North Adrians Beauty College	Modesto	CA	302	1.4	13300	9500	NA	NA
Sierra Nevada College	Incline Village	NV	520	1.4	25200	18000	987	0.585
Shaw University	Raleigh	NC	2257	1.4	22400	16000	NA	0.4772
Aviation Institute of Maintenance-Atlanta	Duluth	GA	555	1.39885115628441	23500	16799.5	NA	NA
Heritage Institute-Jacksonville	Jacksonville	FL	389	1.3986013986014	19600	14014	NA	NA
Northwest College of Hair Design	Clackamas	OR	155	1.39632301605771	18000	12891	NA	NA
Northwest College of Hair Design	Hillsboro	OR	138	1.39632301605771	18000	12891	NA	NA
American Academy of Art	Chicago	IL	461	1.39285714285714	19500	14000	NA	0.9054
Livingstone College	Salisbury	NC	1140	1.392	17400	12500	743	0.5387
Five Towns College	Dix Hills	NY	940	1.3911620294599	22100	15886	896	0.612
Hampshire College	Amherst	MA	1475	1.39099099099099	19300	13875	1236	0.7139
University of Sacred Heart	Santurce	PR	5428	1.39047619047619	14600	10500	NA	0.3702
City College-Fort Lauderdale	Fort Lauderdale	FL	773	1.38911676237353	25400	18285	NA	0.9797
City College-Gainesville	Gainesville	FL	480	1.38911676237353	25400	18285	NA	0.9797
City College-Miami	Miami	FL	324	1.38911676237353	25400	18285	NA	0.9797
Delaware State University	Dover	DE	3744	1.38523489932886	25800	18625	870	0.4265
Aviation Institute of Maintenance-Kansas City	Kansas City	MO	166	1.38112973308504	26700	19332	NA	NA
The Art Institute of Fort Lauderdale	Fort Lauderdale	FL	2541	1.3752793536187	24000	17451	NA	0.4014
Multnomah University	Portland	OR	583	1.37303602824212	24600	17916.5	1042	0.7111
Marylhurst University	Marylhurst	OR	839	1.37297731021263	30800	22433	NA	0.697
Lake Forest College	Lake Forest	IL	1483	1.37263157894737	32600	23750	NA	0.535
Washington Adventist University	Takoma Park	MD	1289	1.37142857142857	33600	24500	NA	NA
Colorado School of Trades	Lakewood	CO	162	1.37	27400	20000	NA	NA
ETI Technical College	Niles	OH	212	1.36921250494658	17300	12635	NA	0.875
Virginia Marti College of Art and Design	Lakewood	OH	208	1.36756756756757	25300	18500	NA	0.8451
Johnson State College	Johnson	VT	1604	1.36387852956846	25600	18770	948	0.9535
Wichita Technical Institute	Wichita	KS	1158	1.36363636363636	22500	16500	NA	NA
Fountainhead College of Technology	Knoxville	TN	228	1.36	27200	20000	NA	NA
Point University	East Point	GA	1245	1.35602836879433	23900	17625	918	0.4716
Brooks Institute	Santa Barbara	CA	746	1.35599088312513	23500	17330.5	NA	0.9833
Iowa Wesleyan College	Mount Pleasant	IA	741	1.35545023696682	28600	21100	954	0.6433
Paul Mitchell The School Gastonia	Gastonia	NC	234	1.35543637250122	13900	10255	NA	NA
Westwood College-Denver North	Denver	CO	550	1.355	27100	20000	NA	0.5951
Westwood College-Denver South	Denver	CO	333	1.355	27100	20000	NA	0.5951
Westwood College-Anaheim	Anaheim	CA	1049	1.355	27100	20000	NA	0.5951
Westwood College-Inland Empire	Upland	CA	1214	1.355	27100	20000	NA	0.5951
Baldwin-Wallace College	Berea	OH	3411	1.35370816377377	32600	24082	1097	0.6331
Gwinnett College-Lilburn	Lilburn	GA	318	1.35029354207436	20700	15330	NA	NA
Daymar College-New Boston	New Boston	OH	218	1.34996447461909	17100	12667	NA	NA
Daymar College-Jackson	Jackson	OH	196	1.34996447461909	17100	12667	NA	NA
Daymar College-Chillicothe	Chillicothe	OH	269	1.34996447461909	17100	12667	NA	NA
Agnes Scott College	Decatur	GA	827	1.34887508907666	26500	19646	NA	0.4588
International Barber & Style College	Nashville	TN	187	1.34736842105263	12800	9500	NA	NA
Webster University	Saint Louis	MO	3548	1.34222222222222	30200	22500	1119	0.722
Mills College	Oakland	CA	924	1.33750772048644	31400	23476.5	1177	0.5704
Anderson University	Anderson	IN	2025	1.33599947263179	30400	22754.5	1038	0.5638
LaGrange College	Lagrange	GA	855	1.33366712942944	29300	21969.5	1004	0.586
Bellus Academy-National City	National City	CA	183	1.33172953002835	15500	11639	NA	NA
Vatterott College-Quincy	Quincy	IL	291	1.33145171186649	21700	16298	NA	NA
L’Ecole Culinaire	Cordova	TN	513	1.33145171186649	21700	16298	NA	NA
Francis Marion University	Florence	SC	3467	1.33	26600	20000	941	0.5868
Southern Wesleyan University	Central	SC	1423	1.32776307081403	32100	24176	969	0.9736
Georgia Institute of Cosmetology	Athens	GA	286	1.32727272727273	14600	11000	NA	NA
Bradford School	Columbus	OH	603	1.32608407373027	20000	15082	NA	NA
Norfolk State University	Norfolk	VA	6222	1.325	26500	20000	865	0.6526
Professional Golfers Career College	Temecula	CA	456	1.325	26500	20000	NA	NA
Bryan College-Topeka	Topeka	KS	200	1.32229054846621	18600	14066.5	NA	1
Earlham College	Richmond	IN	1040	1.32173913043478	22800	17250	1170	0.6846
Tuskegee University	Tuskegee	AL	2683	1.32105263157895	25100	19000	915	0.641
College of Court Reporting Inc	Hobart	IN	240	1.32105263157895	25100	19000	NA	NA
Spelman College	Atlanta	GA	2170	1.31767401890576	32200	24437	1027	0.3918
Sanford-Brown Institute-Pittsburgh	Pittsburgh	PA	1043	1.31436227907867	20600	15673	NA	NA
Savannah State University	Savannah	GA	4241	1.3134328358209	22000	16750	NA	NA
North Carolina Central University	Durham	NC	5985	1.3128628004123	24200	18433	846	0.6054
Limestone College	Gaffney	SC	3207	1.31063829787234	30800	23500	891	0.5056
Camelot College	Baton Rouge	LA	298	1.30348843421123	12200	9359.5	NA	NA
ATI College-Norwalk	Norwalk	CA	143	1.3010053222945	22000	16910	NA	NA
Columbia College-Chicago	Chicago	IL	11024	1.3	24700	19000	NA	NA
Kaplan Career Institute-Pittsburgh	Pittsburgh	PA	719	1.3	16900	13000	NA	NA
American Academy of Dramatic Arts-Los Angeles	Los Angeles	CA	195	1.2992	20300	15625	NA	0.4969
American Academy of Dramatic Arts-New York	New York	NY	224	1.2992	20300	15625	NA	0.4969
Yorktowne Business Institute	York	PA	187	1.29878824395796	19400	14937	NA	NA
Converse College	Spartanburg	SC	694	1.29771986970684	24900	19187.5	1078	0.5311
Aviation Institute of Maintenance-Dallas	Irving	TX	391	1.29757130967693	34300	26434	NA	NA
Paul Mitchell the School-Esani	Roswell	GA	255	1.29496402877698	12600	9730	NA	NA
Bellefonte Academy of Beauty	Russell	KY	161	1.29473684210526	12300	9500	NA	NA
Heritage Institute-Ft Myers	Fort Myers	FL	804	1.29122807017544	18400	14250	NA	NA
Prescott College	Prescott	AZ	710	1.28941176470588	27400	21250	1112	0.8255
South College-Asheville	Asheville	NC	217	1.28484848484848	21200	16500	NA	NA
College of the Atlantic	Bar Harbor	ME	340	1.28430065267738	18300	14249	NA	0.6403
Bel-Rea Institute of Animal Technology	Denver	CO	797	1.28395796153083	25900	20172	NA	0.8953
Wright Career College	Overland Park	KS	1712	1.28250175685172	14600	11384	NA	NA
Alverno College	Milwaukee	WI	2063	1.27410870835769	32700	25665	910	0.8185
Antioch University-Los Angeles	Culver City	CA	187	1.27320299140897	30900	24269.5	NA	0.6949
Antioch University-Santa Barbara	Santa Barbara	CA	146	1.27320299140897	30900	24269.5	NA	0.6949
Antioch University-Seattle	Seattle	WA	244	1.27320299140897	30900	24269.5	NA	0.6949
Antioch University-Midwest	Yellow Springs	OH	142	1.27320299140897	30900	24269.5	NA	0.6949
Westwood College-South Bay	Torrance	CA	735	1.26973398348863	26300	20713	NA	0.5507
Westwood College-Arlington Ballston	Arlington	VA	469	1.26973398348863	26300	20713	NA	0.5507
Westwood College-Annandale	Annandale	VA	442	1.26973398348863	26300	20713	NA	0.5507
Mountain State College	Parkersburg	WV	189	1.2694792854428	16700	13155	NA	NA
Andrews University	Berrien Springs	MI	1857	1.26576937681954	30000	23701	1062	0.4495
Otis College of Art and Design	Los Angeles	CA	1138	1.26439024390244	32400	25625	1044	0.511
Alameda Beauty College	Alameda	CA	140	1.25968992248062	11700	9288	NA	NA
Saint Augustines College	Raleigh	NC	1505	1.25933000813612	17800	14134.5	770	0.6008
Langston University	Langston	OK	2217	1.25797101449275	21700	17250	NA	NA
Wells College	Aurora	NY	487	1.25413518984842	25400	20253	1058	0.6289
Winthrop University	Rock Hill	SC	4593	1.25333333333333	28200	22500	1050	0.6841
PJ's College of Cosmetology-Clarksville	Clarksville	IN	172	1.25263157894737	11900	9500	NA	NA
Everest College-Springfield	Springfield	MO	380	1.24880870222485	19000	15214.5	NA	NA
School of Visual Arts	New York	NY	3496	1.24782608695652	28700	23000	1039	0.7374
Ohio Wesleyan University	Delaware	OH	1819	1.24108108108108	28700	23125	1165	0.6983
Southern University at New Orleans	New Orleans	LA	2598	1.24060807268915	21300	17169	890	0.2016
Morehouse College	Atlanta	GA	2421	1.24048721767694	30400	24506.5	1042	0.6244
Lincoln Christian University	Lincoln	IL	670	1.2377358490566	24600	19875	1010	0.4487
Columbia International University	Columbia	SC	570	1.23380281690141	21900	17750	1100	0.6667
Texas Southern University	Houston	TX	6881	1.23243243243243	22800	18500	831	0.3877
Paul Mitchell the School-Great Lakes	Port Huron	MI	102	1.23157894736842	11700	9500	NA	NA
School of the Art Institute of Chicago	Chicago	IL	2480	1.23076923076923	24000	19500	1125	0.7658
Huntington Junior College	Huntington	WV	852	1.21739130434783	14000	11500	NA	NA
Marywood University	Scranton	PA	2190	1.21450777202073	29300	24125	1044	0.7001
Career Academy of Hair Design	Springdale	AR	338	1.21052631578947	11500	9500	NA	NA
Razzle Dazzle College Inc	Nampa	ID	140	1.21052631578947	11500	9500	NA	NA
Vanguard College of Cosmetology	Slidell	LA	144	1.20725800621702	16700	13833	NA	NA
Vanguard College of Cosmetology-Baton Rouge	Baton Rouge	LA	106	1.20725800621702	16700	13833	NA	NA
Paine College	Augusta	GA	888	1.20666666666667	18100	15000	777	0.6942
Talladega College	Talladega	AL	712	1.2	15000	12500	NA	NA
Expression College for Digital Arts	Emeryville	CA	808	1.2	30000	25000	NA	0.96
Point Park University	Pittsburgh	PA	3316	1.1986801988055	28700	23943	1020	0.7456
Vatterott College-Des Moines	Des Moines	IA	391	1.19517221077421	20300	16985	NA	NA
Vatterott College-Saint Joseph	Saint Joseph	MO	314	1.19517221077421	20300	16985	NA	NA
L'Ecole Culinaire	Saint Louis	MO	477	1.19517221077421	20300	16985	NA	NA
Vatterott Career College-Memphis Appling Farms	Memphis	TN	390	1.19517221077421	20300	16985	NA	NA
Southwest University of Visual Arts-Tucson	Tucson	AZ	254	1.195	23900	20000	NA	NA
Southwest University of Visual Arts-Albuquerque	Albuquerque	NM	261	1.195	23900	20000	NA	NA
San Francisco Art Institute	San Francisco	CA	397	1.19452054794521	21800	18250	1031	0.5711
Olivet College	Olivet	MI	935	1.19265842169989	25700	21548.5	970	0.7404
Jones College-Jacksonville	Jacksonville	FL	642	1.18995366983663	24400	20505	NA	NA
Oak Hills Christian College	Bemidji	MN	119	1.1875	19000	16000	1030	0.5932
Central State University	Wilberforce	OH	2447	1.1859649122807	16900	14250	761	0.3227
Art Center College of Design	Pasadena	CA	1642	1.18484848484848	39100	33000	NA	0.6321
Valley Forge Christian College	Phoenixville	PA	910	1.18439665300055	24700	20854.5	964	0.7629
Albany State University	Albany	GA	4173	1.18321218231018	22300	18847	847	0.5496
College America-Denver	Denver	CO	671	1.17787640833049	20700	17574	NA	NA
College America-Colorado Springs	Colorado Springs	CO	580	1.17787640833049	20700	17574	NA	NA
College America-Fort Collins	Fort Collins	CO	368	1.17787640833049	20700	17574	NA	NA
Oral Roberts University	Tulsa	OK	2676	1.17720207253886	28400	24125	1047	0.5933
Boston Baptist College	Boston	MA	100	1.17368421052632	22300	19000	915	0.5294
Vatterott College-Berkeley	Berkeley	MO	1534	1.17368421052632	22300	19000	NA	NA
Vatterott College-Springfield	Springfield	MO	364	1.17368421052632	22300	19000	NA	NA
Vatterott College-Joplin	Joplin	MO	297	1.17368421052632	22300	19000	NA	NA
Vatterott College-Kansas City	Kansas City	MO	761	1.17368421052632	22300	19000	NA	NA
Vatterott College-Sunset Hills	Sunset Hills	MO	734	1.17368421052632	22300	19000	NA	NA
Vatterott Career College-Memphis Dividend Drive	Memphis	TN	1014	1.17368421052632	22300	19000	NA	NA
Vatterott College-Tulsa	Tulsa	OK	259	1.17368421052632	22300	19000	NA	NA
Vatterott College-Wichita	Wichita	KS	275	1.17368421052632	22300	19000	NA	NA
Vatterott College-Cleveland	Broadview Heights	OH	321	1.17368421052632	22300	19000	NA	NA
Vatterott College-St Charles	St Charles	MO	323	1.17368421052632	22300	19000	NA	NA
Philander Smith College	Little Rock	AR	728	1.16402116402116	18700	16065	869	0.68
Alabama State University	Montgomery	AL	4719	1.16195063214931	19300	16610	783	0.508
Hollins University	Roanoke	VA	716	1.15874855156431	26000	22438	1083	0.8266
Art Academy of Cincinnati	Cincinnati	OH	230	1.15850728738455	21700	18731	1004	0.3732
Florida National College-Main Campus	Hialeah	FL	2572	1.15690111661103	20100	17374	NA	NA
Lawrence University	Appleton	WI	1445	1.15625	29600	25600	NA	0.527
Alabama A & M University	Normal	AL	4112	1.15384615384615	22800	19760	846	0.501
Bethune-Cookman University	Daytona Beach	FL	3256	1.14736842105263	21800	19000	834	0.6696
Benedict College	Columbia	SC	3203	1.14666666666667	17200	15000	NA	NA
Laguna College of Art and Design	Laguna Beach	CA	434	1.13939393939394	23500	20625	NA	0.3947
Paul Mitchell The School-Boise	Boise	ID	166	1.13901993284882	13400	11764.5	NA	NA
CBD College	Los Angeles	CA	214	1.13148497371905	14100	12461.5	NA	NA
Gallipolis Career College	Gallipolis	OH	152	1.12989690721649	13700	12125	NA	NA
Bennett College for Women	Greensboro	NC	678	1.12352941176471	19100	17000	NA	0.6281
